"variable","Country","iso3","Year","value","lower_fence","upper_fence","reason"
"gdp_growth_annual_pct","Venezuela","VEN","2020","-29.825","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Venezuela","VEN","2019","-27.619","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Nicaragua","NIC","1979","-26.479","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Honduras","HND","1994","29.019","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Venezuela","VEN","2018","-19.643","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Honduras","HND","1991","26.047","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Panama","PAN","2020","-17.821","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Venezuela","VEN","2016","-17.112","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Honduras","HND","1995","24.674","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","El Salvador","SLV","1980","-15.837","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Venezuela","VEN","2017","-15.699","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Honduras","HND","1996","22.957","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Honduras","HND","1997","22.428","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Venezuela","VEN","1989","-14.011","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Honduras","HND","1990","21.171","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Panama","PAN","1988","-13.38","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Bolivia","BOL","2020","-12.719","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Dominican Republic","DOM","1965","-12.482","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Nicaragua","NIC","1988","-12.45","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Peru","PER","1989","-12.312","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Chile","CHL","1975","-12.274","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Chile","CHL","1982","-11.502","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Peru","PER","2020","-10.933","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Argentina","ARG","2002","-10.894","-4.429","12.504","Outside 1.5 x IQR fence"
"gdp_growth_annual_pct","Dominican Republic","DOM","1970","18.227","-4.429","12.504","Outside 1.5 x IQR fence"
"inflation_annual_pct","Bolivia","BOL","1985","11749.64","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Peru","PER","1990","7481.664","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Peru","PER","1989","3398.679","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1990","2947.733","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1994","2075.888","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1993","1927.381","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1989","1430.724","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Bolivia","BOL","1984","1281.35","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1992","951.962","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Peru","PER","1988","667.019","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1988","629.115","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Chile","CHL","1974","504.739","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1991","432.787","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Peru","PER","1991","409.53","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Chile","CHL","1975","374.735","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Chile","CHL","1973","352.811","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Bolivia","BOL","1986","276.336","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Bolivia","BOL","1983","275.586","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Venezuela","VEN","2016","254.949","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1987","228.336","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1985","225.99","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Argentina","ARG","2024","219.884","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Chile","CHL","1976","211.924","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Brazil","BRA","1984","192.122","-13.357","31.059","Outside 1.5 x IQR fence"
"inflation_annual_pct","Peru","PER","1985","163.4","-13.357","31.059","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Peru","PER","1977","1.248","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Brazil","BRA","1993","0.682","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Venezuela","VEN","1978","0.611","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Brazil","BRA","1992","0.588","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Venezuela","VEN","1977","0.588","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2007","0.58","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2006","0.579","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2009","0.577","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2010","0.575","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Venezuela","VEN","1979","0.574","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2011","0.573","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Venezuela","VEN","1976","0.572","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2002","0.569","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2005","0.565","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2001","0.565","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2008","0.562","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2012","0.561","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Venezuela","VEN","1981","0.56","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2020","0.56","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2004","0.559","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Venezuela","VEN","1972","0.557","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Venezuela","VEN","1973","0.556","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Venezuela","VEN","1983","0.556","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Venezuela","VEN","1980","0.555","0.233","0.54","Outside 1.5 x IQR fence"
"sector_value_added_hhi","Panama","PAN","2003","0.553","0.233","0.54","Outside 1.5 x IQR fence"
"credit_growth_pp","Brazil","BRA","1990","-85.664","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Brazil","BRA","1994","-64.59","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Brazil","BRA","1993","49.648","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Brazil","BRA","1992","39.307","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Brazil","BRA","1995","-26.029","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Argentina","ARG","1990","-24.116","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Brazil","BRA","1989","22.356","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Argentina","ARG","1989","19.382","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Panama","PAN","2020","16.827","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Chile","CHL","2008","16.097","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Chile","CHL","2021","-14.274","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Panama","PAN","2014","15.435","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Panama","PAN","2013","-14.155","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Bolivia","BOL","2020","13.031","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Brazil","BRA","1998","-11.32","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Colombia","COL","2000","-10.707","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Bolivia","BOL","1983","-9.946","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Venezuela","VEN","1989","-9.806","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Bolivia","BOL","2017","-9.535","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Colombia","COL","1974","10.615","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Peru","PER","2020","10.588","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Bolivia","BOL","1982","10.42","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Brazil","BRA","1980","-8.959","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Brazil","BRA","1969","10.072","-5.507","6.975","Outside 1.5 x IQR fence"
"credit_growth_pp","Paraguay","PRY","1998","-8.252","-5.507","6.975","Outside 1.5 x IQR fence"
